"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude"
"84","E 1st St 2388, 78702 Austin",NA,"CE","GOOD",93,"GOOD","FJC 9785","FALSE","WMEEJ3BA3FK802518","austin",-97.71781,30.2549,0
"85","Willowrun Dr 3416, 78704 Austin",NA,"CE","GOOD",51,"GOOD","CZS 9750","FALSE","WMEEJ3BA7EK748543","austin",-97.75537,30.226,0
"86","Angelina St 1156, 78702 Austin",NA,"CE","GOOD",93,"GOOD","CZT 0933","FALSE","WMEEJ3BAXEK748410","austin",-97.72443,30.26931,0
"87","The Canopy",NA,"CE","GOOD",30,"GOOD","FBV 4426","FALSE","WMEEJ3BAXFK799536","austin",-97.69811,30.26199,0
"88","The Parking Spot",NA,"CE","GOOD",100,"GOOD","FBV 4390","FALSE","WMEEJ3BA1FK799294","austin",-97.67598,30.22049,0
"89","Sylvan Dr 1775, 78741 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4384","FALSE","WMEEJ3BA8FK799440","austin",-97.73319,30.23881,0
"90","Willow Springs Rd 3541, 78704 Austin",NA,"CE","GOOD",45,"GOOD","FBV 4394","FALSE","WMEEJ3BAXFK799231","austin",-97.75673,30.22607,0
"91","San Antonio St 277, 78701 Austin",NA,"CE","GOOD",45,"GOOD","DSH 6620","FALSE","WMEEJ3BA8EK748745","austin",-97.74839,30.26632,0
"92","Esperanza Xing 3283, 78758 Austin",NA,"CE","GOOD",100,"GOOD","FHB 1678","FALSE","WMEEJ3BA9FK802457","austin",-97.72482,30.40004,0
"93","St. Edward's Parking",NA,"CE","GOOD",18,"GOOD","FBV 4395","FALSE","WMEEJ3BA9FK799219","austin",-97.7513,30.22659,0
"94","Crestview Station",NA,"CE","GOOD",42,"GOOD","CZT 0923","FALSE","WMEEJ3BA1EK748313","austin",-97.71947,30.33886,0
"95","Stassney Woods - 1800 E Stassney Lane - 2 Spaces",NA,"CE","GOOD",45,"GOOD","CSG 1521","FALSE","WMEEJ3BA3EK735465","austin",-97.76107,30.19734,0
