"","name","Dist","Fuel","Time","startTime"
"269","FGZ 8625",0,0,5,"2015-12-07 15:20:49"
"270","FGZ 8625",3884,3,30,"2015-12-07 14:35:48"
"271","CZT 0916",165,3,25,"2015-12-07 14:40:48"
"272","FBV 4492",965,3,105.166666666667,"2015-12-08 11:06:41"
"273","FBV 4492",3358,0,35.0166666666667,"2015-12-08 08:11:32"
"274","FBV 4492",1952,0,15.0166666666667,"2015-12-08 07:56:31"
"275","FBV 4492",3533,3,40.0333333333333,"2015-12-08 06:21:27"
"276","FBV 4492",4008,0,30.0166666666667,"2015-12-07 15:15:48"
"277","FHB 2854",6628,0,15,"2015-12-08 10:01:37"
"278","CZT 1029",2785,0,25.05,"2015-12-08 12:01:46"
"279","CZT 1029",2494,3,15.0166666666667,"2015-12-07 23:26:08"
"280","CZT 1029",462,0,15,"2015-12-07 23:11:08"
"281","FBV 4427",2570,3,35.0333333333333,"2015-12-08 07:51:31"
"282","FBV 4427",227,0,120.05,"2015-12-07 18:50:54"
"283","FBV 4427",7561,12,90.05,"2015-12-07 13:50:46"
"284","FHB 1329",6201,3,15.0333333333333,"2015-12-08 11:56:46"
"285","FHB 1329",7379,0,20.0166666666667,"2015-12-08 06:16:26"
"286","FHB 1329",2976,0,20.0166666666667,"2015-12-07 18:20:53"
"287","FHB 1329",2369,3,10,"2015-12-07 18:05:53"
"288","CZT 0995",4508,0,45.0333333333333,"2015-12-07 17:15:51"
"289","FBV 4467",2489,0,25.0166666666667,"2015-12-08 09:51:36"
"290","FBV 4467",5177,0,15,"2015-12-08 09:21:35"
"291","FBV 4467",2360,0,30.0166666666667,"2015-12-07 17:50:52"
"292","CSF 9066",7802,0,45.0333333333333,"2015-12-08 09:16:35"
"293","CSF 9066",3987,3,25.0166666666667,"2015-12-08 08:41:33"
"294","CSF 9066",6157,0,25,"2015-12-08 05:06:24"
"295","CSF 9066",87,0,20.0166666666667,"2015-12-07 18:10:53"
"296","CSF 9066",6899,3,60.0333333333333,"2015-12-07 17:00:51"
"297","CSF 9066",2403,0,15,"2015-12-07 14:45:48"
"298","CSF 9066",1654,3,15.0166666666667,"2015-12-07 14:30:47"
"299","FHB 2870",0,0,55.1166666666667,"2015-12-08 11:21:41"
"300","FHB 2870",998,0,15,"2015-12-07 17:00:51"
"301","FHB 2870",6120,3,25.0166666666667,"2015-12-07 14:30:47"
"302","CYL 4626",4637,3,25.0166666666667,"2015-12-07 17:45:52"
"303","CK9 T246",74,0,10.0166666666667,"2015-12-08 13:01:52"
"304","CK9 T246",12213,0,45.0166666666667,"2015-12-07 17:30:52"
"305","CK9 T246",2418,0,30,"2015-12-07 16:35:51"
"306","FHB 2839",9242,0,30.05,"2015-12-08 12:41:50"
"307","FHB 2839",8119,3,15.0333333333333,"2015-12-08 10:51:39"
"308","FHB 2839",6576,3,30.0166666666667,"2015-12-08 08:41:33"
"309","FBV 4393",4756,3,30.0166666666667,"2015-12-07 16:25:50"
"310","FBV 4393",471,0,55.0333333333333,"2015-12-07 15:10:48"
"311","CSF 8925",0,0,15.0166666666667,"2015-12-08 07:51:31"
"312","CSF 8925",3277,0,25.0333333333333,"2015-12-07 22:26:05"
"313","CSF 8925",7389,0,35.1,"2015-12-07 21:15:58"
"314","CSF 8925",7687,0,25.0166666666667,"2015-12-07 20:25:56"
"315","CSF 8925",4901,0,30.0166666666667,"2015-12-07 16:50:51"
"316","CSF 9064",700,0,65.0166666666667,"2015-12-07 16:40:51"
"317","FGZ 8810",5640,0,30.0166666666667,"2015-12-08 09:06:34"
"318","FGZ 8810",4229,0,35.0166666666667,"2015-12-08 01:16:13"
"319","FGZ 8810",3396,0,20.0166666666667,"2015-12-07 17:00:51"
"320","FGZ 8615",0,0,15.0166666666667,"2015-12-08 07:56:31"
"321","FGZ 8615",3853,3,25,"2015-12-07 17:20:52"
"322","CSG 1543",2601,3,15.0166666666667,"2015-12-08 10:26:38"
"323","CSG 1543",1076,0,20.0166666666667,"2015-12-08 09:51:36"
"324","CSG 1543",2843,0,50.0333333333333,"2015-12-08 07:11:29"
"325","CSG 1543",2962,3,55.05,"2015-12-07 22:26:05"
"326","CSG 1543",3385,0,25.0166666666667,"2015-12-07 20:40:57"
"327","CSG 1543",1237,0,10,"2015-12-07 14:10:47"
"328","FBV 4368",1170,0,30.05,"2015-12-08 12:06:47"
"329","FBV 4368",5454,3,20,"2015-12-08 11:41:46"
"330","FBV 4368",4212,0,50.0333333333333,"2015-12-08 08:21:32"
"331","FBV 4368",6056,3,25,"2015-12-07 20:00:56"
"332","FBV 4368",6517,4,45.0166666666667,"2015-12-07 14:55:48"
"333","CZT 0935",3479,3,20.0166666666667,"2015-12-08 12:21:49"
"334","CZT 0935",3052,0,15,"2015-12-08 08:06:32"
"335","CZT 0935",2659,0,15.0166666666667,"2015-12-08 06:46:28"
"336","CZT 0935",2563,3,40.0666666666667,"2015-12-07 21:36:01"
"337","CZT 0935",1078,0,20,"2015-12-07 20:00:56"
"338","CZT 0935",6868,0,20.0166666666667,"2015-12-07 18:55:54"
"339","FBV 4431",0,0,25.0166666666667,"2015-12-08 08:51:34"
"340","FBV 4360",3636,0,15.0166666666667,"2015-12-08 12:11:48"
"341","FBV 4360",3726,0,10.0333333333333,"2015-12-08 10:51:39"
"342","CZS 9749",1,3,50.0666666666667,"2015-12-08 11:46:46"
"343","CZS 9749",3516,6,50.05,"2015-12-08 10:26:38"
"344","CZS 9749",1741,0,30.0333333333333,"2015-12-08 09:31:35"
"345","CZS 9749",5621,0,45.0333333333333,"2015-12-08 08:36:33"
"346","CZS 9749",4342,3,35.0166666666667,"2015-12-07 19:30:55"
"347","CZS 9749",961,0,10,"2015-12-07 18:00:53"
"348","CZS 9749",2515,0,15.0166666666667,"2015-12-07 15:50:49"
"349","CZS 9749",1827,0,10,"2015-12-07 14:35:48"
"350","FBV 4429",8391,3,45.0166666666667,"2015-12-07 17:40:52"
"351","FBV 4436",3026,3,70.05,"2015-12-08 09:26:35"
"352","FBV 4436",3305,3,25.0166666666667,"2015-12-07 19:00:54"
"353","FGZ 8846",3229,3,30.0166666666667,"2015-12-08 08:36:33"
"354","FGZ 8846",5882,0,50.0333333333333,"2015-12-08 04:26:22"
"355","FGZ 8846",2431,3,50.0166666666667,"2015-12-07 14:55:48"
"356","CSG 2236",2845,0,15,"2015-12-08 09:41:36"
"357","CSG 2236",2763,0,15.0166666666667,"2015-12-08 07:56:31"
"358","CSG 2236",5286,4,15.0166666666667,"2015-12-08 06:26:27"
"359","CSG 2236",0,0,10.0166666666667,"2015-12-07 23:01:07"
"360","CSG 2236",3599,0,25.0166666666667,"2015-12-07 18:25:53"
"361","CSG 2236",2875,0,90.05,"2015-12-07 15:05:48"
"362","FBV 4369",3759,0,25.0166666666667,"2015-12-08 09:21:35"
"363","FBV 4369",2003,3,10.0166666666667,"2015-12-07 17:15:51"
"364","FBV 4369",1393,3,45.0166666666667,"2015-12-07 14:15:47"
"365","FBV 4423",190,0,15,"2015-12-08 01:31:14"
"366","FBV 4423",5707,3,30.0833333333333,"2015-12-07 21:26:00"
"367","FBV 4487",3879,3,15.0166666666667,"2015-12-08 08:16:32"
"368","FBV 4487",1356,0,30.0166666666667,"2015-12-08 06:26:27"
"369","FBV 4487",1330,0,10.0166666666667,"2015-12-08 06:16:26"
"370","FBV 4487",739,0,5,"2015-12-07 17:45:52"
"371","FBV 4487",317,0,5,"2015-12-07 17:00:51"
"372","FGZ 8800",5666,0,25,"2015-12-07 22:01:05"
"373","FGZ 8800",1865,0,15,"2015-12-07 20:00:56"
"374","FGZ 8800",2097,0,20,"2015-12-07 18:05:53"
"375","FHB 2827",2016,-67,20.0833333333333,"2015-12-08 11:21:41"
"376","FHB 2827",0,0,5,"2015-12-08 11:16:41"
"377","FJC 9926",5531,0,50.0666666666667,"2015-12-08 10:16:37"
"378","FJC 9926",1511,0,15.0166666666667,"2015-12-07 23:06:07"
"379","FJC 9926",8818,3,25,"2015-12-07 17:25:52"
"380","FJC 9926",7886,0,20,"2015-12-07 15:40:49"
"381","CYL 4629",10263,0,35.0166666666667,"2015-12-07 20:35:57"
"382","CYL 4629",643,6,40,"2015-12-07 19:50:56"
"383","CYL 4629",1694,0,20.0166666666667,"2015-12-07 18:10:53"
