"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude","Time....Sys.time.."
"3441","Shore District Dr 1422, 78741 Austin",NA,"CE","GOOD",81,"GOOD","FHB 1330","FALSE","WMEEJ3BA9FK801664","austin",-97.72817,30.24397,0,2015-12-05 23:10:48
"3442","E 6th St 1351, 78702 Austin",NA,"CE","UNACCEPTABLE",24,"UNACCEPTABLE","FBV 4362","FALSE","WMEEJ3BA9FK799558","austin",-97.72895,30.26393,0,2015-12-05 23:10:48
"3443","Harris Ave 727, 78705 Austin",NA,"CE","GOOD",72,"GOOD","CZT 0917","FALSE","WMEEJ3BA2EK748093","austin",-97.72858,30.29468,0,2015-12-05 23:10:48
"3444","E 48 1/2 St 977, 78751 Austin",NA,"CE","GOOD",66,"GOOD","FHB 2855","FALSE","WMEEJ3BA8FK800487","austin",-97.71418,30.30772,0,2015-12-05 23:10:48
"3445","Gibson St W 1023, 78704 Austin",NA,"CE","GOOD",36,"GOOD","FBV 4380","FALSE","WMEEJ3BA7FK799283","austin",-97.75892,30.2536,0,2015-12-05 23:10:48
"3446","The Element",NA,"CE","GOOD",42,"GOOD","CK9 T264","FALSE","WMEEJ3BAXAK417420","austin",-97.73022,30.24044,0,2015-12-05 23:10:48
"3447","Grooms St 3232, 78705 Austin",NA,"CE","GOOD",45,"GOOD","FHB 2842","FALSE","WMEEJ3BA8FK800800","austin",-97.73463,30.296,0,2015-12-05 23:10:48
"3448","One Highland Center",NA,"CE","GOOD",93,"GOOD","FJC 9933","FALSE","WMEEJ3BAXFK801558","austin",-97.71164,30.32867,0,2015-12-05 23:10:48
"3449","Hardrock Canyon Apartments",NA,"CE","GOOD",90,"GOOD","FGZ 8811","FALSE","WMEEJ3BAXFK802287","austin",-97.75122,30.39674,0,2015-12-05 23:10:48
"3450","E 51st St 1225, 78723 Austin",NA,"CE","GOOD",48,"GOOD","CZS 9744","FALSE","WMEEJ3BA2EK748224","austin",-97.70792,30.30788,0,2015-12-05 23:10:48
"3451","Palma Plz 1586, 78703 Austin",NA,"CE","UNACCEPTABLE",27,"GOOD","FGZ 8611","FALSE","WMEEJ3BA0FK800323","austin",-97.75778,30.28234,0,2015-12-05 23:10:48
