"","lat","lon","name"
"328",30.27627,-97.76172,"FBV 4383"
"329",30.27735,-97.76106,"FBV 4383"
"330",30.27752,-97.76141,"FBV 4383"
"331",30.27752,-97.76141,"FBV 4383"
"332",30.27735,-97.76106,"FBV 4383"
"333",30.2768,-97.76141,"FBV 4383"
"334",30.27581,-97.762,"FBV 4383"
"335",30.27482,-97.76263,"FBV 4383"
"336",30.27527,-97.76356,"FBV 4383"
"337",30.27545,-97.76385,"FBV 4383"
"338",30.27565,-97.76405,"FBV 4383"
"339",30.27577,-97.76422,"FBV 4383"
"340",30.27517,-97.76462,"FBV 4383"
"341",30.27486,-97.76483,"FBV 4383"
"342",30.27404,-97.76383,"FBV 4383"
"343",30.27389,-97.76361,"FBV 4383"
"344",30.27373,-97.76334,"FBV 4383"
"345",30.27364,-97.76314,"FBV 4383"
"346",30.2727,-97.76083,"FBV 4383"
"347",30.272,-97.75909,"FBV 4383"
"348",30.27169,-97.75821,"FBV 4383"
"349",30.27099,-97.75631,"FBV 4383"
"350",30.27055,-97.75525,"FBV 4383"
"351",30.27031,-97.75465,"FBV 4383"
"352",30.26974,-97.75317,"FBV 4383"
"353",30.26961,-97.75247,"FBV 4383"
"354",30.26948,-97.75183,"FBV 4383"
"355",30.26933,-97.75095,"FBV 4383"
"356",30.26903,-97.74986,"FBV 4383"
"357",30.26852,-97.74801,"FBV 4383"
"358",30.2678,-97.74554,"FBV 4383"
"359",30.26749,-97.7445,"FBV 4383"
"360",30.26712,-97.74313,"FBV 4383"
"361",30.26676,-97.74184,"FBV 4383"
"362",30.26715,-97.74169,"FBV 4383"
"363",30.26745,-97.74157,"FBV 4383"
"364",30.26802,-97.74135,"FBV 4383"
"365",30.26802,-97.74135,"FBV 4383"
"366",30.26953,-97.74078,"FBV 4383"
"367",30.26992,-97.74211,"FBV 4383"
"368",30.2703,-97.74343,"FBV 4383"
"369",30.27077,-97.74516,"FBV 4383"
"370",30.27121,-97.74667,"FBV 4383"
"371",30.27175,-97.74858,"FBV 4383"
"372",30.27182,-97.74873,"FBV 4383"
"373",30.27183,-97.74874,"FBV 4383"
"374",30.27185,-97.74875,"FBV 4383"
"375",30.27192,-97.74876,"FBV 4383"
"376",30.27274,-97.74847,"FBV 4383"
"377",30.27353,-97.75121,"FBV 4383"
"378",30.27362,-97.75169,"FBV 4383"
"379",30.27387,-97.75261,"FBV 4383"
"380",30.27494,-97.7557,"FBV 4383"
"381",30.27539,-97.75543,"FBV 4383"
"382",30.27583,-97.75514,"FBV 4383"
"383",30.27575,-97.75488,"FBV 4383"
"384",30.27573,-97.75482,"FBV 4383"
"385",30.27573,-97.75482,"FBV 4383"
"386",30.27583,-97.75514,"FBV 4383"
"387",30.27651,-97.75476,"FBV 4383"
"388",30.27784,-97.75417,"FBV 4383"
"389",30.27747,-97.75314,"FBV 4383"
"390",30.27699,-97.75175,"FBV 4383"
"391",30.27687,-97.7514,"FBV 4383"
"392",30.27689,-97.75139,"FBV 4383"
"393",30.27799,-97.7509,"FBV 4383"
"394",30.27834,-97.75079,"FBV 4383"
"395",30.27861,-97.75073,"FBV 4383"
"396",30.27871,-97.75072,"FBV 4383"
"397",30.27884,-97.75064,"FBV 4383"
"398",30.27942,-97.75056,"FBV 4383"
"399",30.2799,-97.75048,"FBV 4383"
"400",30.28006,-97.75044,"FBV 4383"
"401",30.28047,-97.75036,"FBV 4383"
"402",30.28078,-97.75038,"FBV 4383"
"403",30.28088,-97.75042,"FBV 4383"
"404",30.28152,-97.75058,"FBV 4383"
"405",30.28161,-97.75061,"FBV 4383"
"406",30.28169,-97.75067,"FBV 4383"
"407",30.28207,-97.7508,"FBV 4383"
"408",30.28236,-97.75096,"FBV 4383"
"409",30.28271,-97.7512,"FBV 4383"
"410",30.28335,-97.75188,"FBV 4383"
"411",30.28359,-97.75212,"FBV 4383"
"412",30.2838,-97.75229,"FBV 4383"
"413",30.28432,-97.75264,"FBV 4383"
"414",30.28473,-97.75288,"FBV 4383"
"415",30.28498,-97.75301,"FBV 4383"
"416",30.28525,-97.75312,"FBV 4383"
"417",30.28557,-97.75318,"FBV 4383"
"418",30.2864,-97.75322,"FBV 4383"
"419",30.28672,-97.7532,"FBV 4383"
"420",30.28854,-97.75279,"FBV 4383"
"421",30.28906,-97.75258,"FBV 4383"
"422",30.28928,-97.75247,"FBV 4383"
"423",30.28976,-97.75217,"FBV 4383"
"424",30.29015,-97.75188,"FBV 4383"
"425",30.29069,-97.75145,"FBV 4383"
"426",30.29109,-97.7511,"FBV 4383"
"427",30.29142,-97.75078,"FBV 4383"
"428",30.2915,-97.75066,"FBV 4383"
"429",30.2916,-97.75042,"FBV 4383"
"430",30.29192,-97.74882,"FBV 4383"
"431",30.29209,-97.74789,"FBV 4383"
"432",30.29215,-97.74768,"FBV 4383"
"433",30.29227,-97.74743,"FBV 4383"
"434",30.29236,-97.74733,"FBV 4383"
"435",30.29251,-97.7472,"FBV 4383"
"436",30.29274,-97.74707,"FBV 4383"
