"","lat","lon","startTime","name"
"174",30.2666,-97.75627,"2015-12-08 08:31:33","CSF 9069"
"175",30.26697,-97.7561,"2015-12-08 08:31:33","CSF 9069"
"176",30.26708,-97.75604,"2015-12-08 08:31:33","CSF 9069"
"177",30.26714,-97.75597,"2015-12-08 08:31:33","CSF 9069"
"178",30.26716,-97.75595,"2015-12-08 08:31:33","CSF 9069"
"179",30.26729,-97.7559,"2015-12-08 08:31:33","CSF 9069"
"180",30.26739,-97.75577,"2015-12-08 08:31:33","CSF 9069"
"181",30.26742,-97.7557,"2015-12-08 08:31:33","CSF 9069"
"182",30.26743,-97.75564,"2015-12-08 08:31:33","CSF 9069"
"183",30.26742,-97.75558,"2015-12-08 08:31:33","CSF 9069"
"184",30.26739,-97.75552,"2015-12-08 08:31:33","CSF 9069"
"185",30.26726,-97.75542,"2015-12-08 08:31:33","CSF 9069"
"186",30.26708,-97.75538,"2015-12-08 08:31:33","CSF 9069"
"187",30.26696,-97.75538,"2015-12-08 08:31:33","CSF 9069"
"188",30.26684,-97.75535,"2015-12-08 08:31:33","CSF 9069"
"189",30.26639,-97.75555,"2015-12-08 08:31:33","CSF 9069"
"190",30.26645,-97.75599,"2015-12-08 08:31:33","CSF 9069"
"191",30.26654,-97.75637,"2015-12-08 08:31:33","CSF 9069"
"192",30.26675,-97.7568,"2015-12-08 08:31:33","CSF 9069"
"193",30.26698,-97.75712,"2015-12-08 08:31:33","CSF 9069"
"194",30.26752,-97.75775,"2015-12-08 08:31:33","CSF 9069"
"195",30.26766,-97.75792,"2015-12-08 08:31:33","CSF 9069"
"196",30.26799,-97.75838,"2015-12-08 08:31:33","CSF 9069"
"197",30.26822,-97.75883,"2015-12-08 08:31:33","CSF 9069"
"198",30.26842,-97.75931,"2015-12-08 08:31:33","CSF 9069"
"199",30.26955,-97.76185,"2015-12-08 08:31:33","CSF 9069"
"200",30.26969,-97.76196,"2015-12-08 08:31:33","CSF 9069"
"201",30.26996,-97.76232,"2015-12-08 08:31:33","CSF 9069"
"202",30.27014,-97.7625,"2015-12-08 08:31:33","CSF 9069"
"203",30.27115,-97.76336,"2015-12-08 08:31:33","CSF 9069"
"204",30.27227,-97.76433,"2015-12-08 08:31:33","CSF 9069"
"205",30.27292,-97.76493,"2015-12-08 08:31:33","CSF 9069"
"206",30.27324,-97.76523,"2015-12-08 08:31:33","CSF 9069"
"207",30.27338,-97.76533,"2015-12-08 08:31:33","CSF 9069"
"208",30.27343,-97.76535,"2015-12-08 08:31:33","CSF 9069"
"209",30.27371,-97.76558,"2015-12-08 08:31:33","CSF 9069"
"210",30.27421,-97.76597,"2015-12-08 08:31:33","CSF 9069"
"211",30.27478,-97.76634,"2015-12-08 08:31:33","CSF 9069"
"212",30.27535,-97.76666,"2015-12-08 08:31:33","CSF 9069"
"213",30.27553,-97.76675,"2015-12-08 08:31:33","CSF 9069"
"214",30.27629,-97.76707,"2015-12-08 08:31:33","CSF 9069"
"215",30.27691,-97.76729,"2015-12-08 08:31:33","CSF 9069"
"216",30.2772,-97.76735,"2015-12-08 08:31:33","CSF 9069"
"217",30.27741,-97.76738,"2015-12-08 08:31:33","CSF 9069"
"218",30.27758,-97.76739,"2015-12-08 08:31:33","CSF 9069"
"219",30.27796,-97.76738,"2015-12-08 08:31:33","CSF 9069"
"220",30.27854,-97.76732,"2015-12-08 08:31:33","CSF 9069"
"221",30.27886,-97.76725,"2015-12-08 08:31:33","CSF 9069"
"222",30.27933,-97.7671,"2015-12-08 08:31:33","CSF 9069"
"223",30.27973,-97.767,"2015-12-08 08:31:33","CSF 9069"
"224",30.28018,-97.76682,"2015-12-08 08:31:33","CSF 9069"
"225",30.28167,-97.76603,"2015-12-08 08:31:33","CSF 9069"
"226",30.28242,-97.76569,"2015-12-08 08:31:33","CSF 9069"
"227",30.28301,-97.76546,"2015-12-08 08:31:33","CSF 9069"
"228",30.28335,-97.76536,"2015-12-08 08:31:33","CSF 9069"
"229",30.28398,-97.76502,"2015-12-08 08:31:33","CSF 9069"
"230",30.2851,-97.76427,"2015-12-08 08:31:33","CSF 9069"
"231",30.2859,-97.76371,"2015-12-08 08:31:33","CSF 9069"
"232",30.28747,-97.76263,"2015-12-08 08:31:33","CSF 9069"
"233",30.28911,-97.76148,"2015-12-08 08:31:33","CSF 9069"
"234",30.29016,-97.76081,"2015-12-08 08:31:33","CSF 9069"
"235",30.29121,-97.76025,"2015-12-08 08:31:33","CSF 9069"
"236",30.2921,-97.75986,"2015-12-08 08:31:33","CSF 9069"
"237",30.29262,-97.75966,"2015-12-08 08:31:33","CSF 9069"
"238",30.29324,-97.75945,"2015-12-08 08:31:33","CSF 9069"
"239",30.29457,-97.75907,"2015-12-08 08:31:33","CSF 9069"
"240",30.29507,-97.75894,"2015-12-08 08:31:33","CSF 9069"
"241",30.29514,-97.75891,"2015-12-08 08:31:33","CSF 9069"
"242",30.29742,-97.75829,"2015-12-08 08:31:33","CSF 9069"
"243",30.29789,-97.75817,"2015-12-08 08:31:33","CSF 9069"
"244",30.29838,-97.75807,"2015-12-08 08:31:33","CSF 9069"
"245",30.29902,-97.75802,"2015-12-08 08:31:33","CSF 9069"
"246",30.29943,-97.75802,"2015-12-08 08:31:33","CSF 9069"
"247",30.29987,-97.75805,"2015-12-08 08:31:33","CSF 9069"
"248",30.30044,-97.7581,"2015-12-08 08:31:33","CSF 9069"
"249",30.30258,-97.75827,"2015-12-08 08:31:33","CSF 9069"
"250",30.30303,-97.75829,"2015-12-08 08:31:33","CSF 9069"
"251",30.30376,-97.75826,"2015-12-08 08:31:33","CSF 9069"
"252",30.30418,-97.75821,"2015-12-08 08:31:33","CSF 9069"
"253",30.30472,-97.7581,"2015-12-08 08:31:33","CSF 9069"
"254",30.307,-97.75764,"2015-12-08 08:31:33","CSF 9069"
"255",30.30878,-97.75723,"2015-12-08 08:31:33","CSF 9069"
"256",30.30945,-97.7571,"2015-12-08 08:31:33","CSF 9069"
"257",30.31008,-97.75701,"2015-12-08 08:31:33","CSF 9069"
"258",30.31871,-97.75594,"2015-12-08 08:31:33","CSF 9069"
"259",30.32138,-97.75573,"2015-12-08 08:31:33","CSF 9069"
"260",30.32221,-97.75572,"2015-12-08 08:31:33","CSF 9069"
"261",30.33069,-97.7555,"2015-12-08 08:31:33","CSF 9069"
"262",30.33107,-97.75549,"2015-12-08 08:31:33","CSF 9069"
"263",30.33251,-97.75544,"2015-12-08 08:31:33","CSF 9069"
"264",30.33259,-97.75546,"2015-12-08 08:31:33","CSF 9069"
"265",30.3347,-97.75543,"2015-12-08 08:31:33","CSF 9069"
"266",30.33561,-97.75542,"2015-12-08 08:31:33","CSF 9069"
"267",30.33605,-97.75538,"2015-12-08 08:31:33","CSF 9069"
"268",30.33634,-97.75533,"2015-12-08 08:31:33","CSF 9069"
"269",30.3365,-97.7553,"2015-12-08 08:31:33","CSF 9069"
"270",30.33733,-97.7551,"2015-12-08 08:31:33","CSF 9069"
"271",30.33789,-97.75489,"2015-12-08 08:31:33","CSF 9069"
"272",30.33821,-97.75473,"2015-12-08 08:31:33","CSF 9069"
"273",30.33903,-97.75431,"2015-12-08 08:31:33","CSF 9069"
"274",30.3402,-97.75369,"2015-12-08 08:31:33","CSF 9069"
"275",30.34251,-97.75245,"2015-12-08 08:31:33","CSF 9069"
"276",30.34399,-97.75173,"2015-12-08 08:31:33","CSF 9069"
"277",30.34549,-97.75104,"2015-12-08 08:31:33","CSF 9069"
"278",30.34894,-97.74951,"2015-12-08 08:31:33","CSF 9069"
"279",30.34949,-97.74921,"2015-12-08 08:31:33","CSF 9069"
"280",30.35018,-97.7489,"2015-12-08 08:31:33","CSF 9069"
"281",30.35094,-97.74864,"2015-12-08 08:31:33","CSF 9069"
"282",30.35161,-97.74838,"2015-12-08 08:31:33","CSF 9069"
"283",30.35172,-97.74882,"2015-12-08 08:31:33","CSF 9069"
"284",30.35175,-97.74895,"2015-12-08 08:31:33","CSF 9069"
"285",30.35189,-97.74951,"2015-12-08 08:31:33","CSF 9069"
"286",30.35193,-97.74955,"2015-12-08 08:31:33","CSF 9069"
"287",30.35195,-97.74965,"2015-12-08 08:31:33","CSF 9069"
